idnum,ED_NAMEE,ED_NAMEF,POPULATION,Region,canada338,PollCloseEST,result
35094,Scarborough Centre,Scarborough-Centre,112603,TOR,LPC safe,9:30pm,
35095,Scarborough--Guildwood,Scarborough--Guildwood,102386,TOR,LPC safe,9:30pm,
35096,Scarborough North,Scarborough-Nord,98800,TOR,LPC safe,9:30pm,
35097,Scarborough--Rouge Park,Scarborough--Rouge Park,102275,TOR,LPC safe,9:30pm,
35098,Scarborough Southwest,Scarborough-Sud-Ouest,110278,TOR,LPC safe,9:30pm,
35099,Simcoe--Grey,Simcoe--Grey,129944,,CPC likely,9:30pm,
35100,Simcoe North,Simcoe-Nord,111332,,CPC likely,9:30pm,
35101,Spadina--Fort York,Spadina--Fort York,115506,TOR,LPC safe,9:30pm,
35102,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,103320,,CPC safe,9:30pm,
35103,Sudbury,Sudbury,91532,,Toss up LPC/NDP,9:30pm,
35104,Thornhill,Thornhill,112719,TOR,CPC likely,9:30pm,
35105,Thunder Bay--Rainy River,Thunder Bay--Rainy River,82805,,Toss up LPC/NDP,9:30pm,
35106,Thunder Bay--Superior North,Thunder Bay--Supérieur-Nord,82651,,LPC likely,9:30pm,
35107,Timmins--James Bay,Timmins--Baie James,83257,,NDP safe,9:30pm,
35108,Toronto Centre,Toronto-Centre,103805,TOR,LPC safe,9:30pm,
35109,Toronto--Danforth,Toronto--Danforth,106875,TOR,Toss up LPC/NDP,9:30pm,
35110,University--Rosedale,University--Rosedale,104311,TOR,LPC safe,9:30pm,
35111,Vaughan--Woodbridge,Vaughan--Woodbridge,105228,TOR,LPC likely,9:30pm,
35112,Waterloo,Waterloo,110134,KIT,LPC safe,9:30pm,
35113,Wellington--Halton Hills,Wellington--Halton Hills,120981,KIT,CPC safe,9:30pm,
35114,Whitby,Whitby,128377,TOR,LPC likely,9:30pm,
35115,Willowdale,Willowdale,118801,TOR,LPC likely,9:30pm,
35116,Windsor--Tecumseh,Windsor--Tecumseh,117429,WIN,NDP leaning,9:30pm,
35117,Windsor West,Windsor-Ouest,122988,WIN,NDP likely,9:30pm,
35118,York Centre,York-Centre,104319,TOR,LPC leaning,9:30pm,
35119,York--Simcoe,York--Simcoe,104010,,CPC safe,9:30pm,
35120,York South--Weston,York-Sud--Weston,116686,TOR,LPC safe,9:30pm,
35121,Humber River--Black Creek,Humber River--Black Creek,108037,TOR,LPC safe,9:30pm,
46001,Brandon--Souris,Brandon--Souris,88170,,CPC safe,9:30pm,
46002,Charleswood--St. James--Assiniboia--Headingley,Charleswood--St. James--Assiniboia--Headingley,82574,WPG,Toss up LPC/CPC,9:30pm,
