"riding_code","current_party","current_projection","date"
24064,"NDP","NDP leaning",2021-08-16
24065,"LPC","LPC safe",2021-08-16
24066,"BQ","BQ likely",2021-08-16
24067,"BQ","BQ leaning",2021-08-16
24068,"LPC","LPC safe",2021-08-16
24069,"LPC","LPC safe",2021-08-16
24070,"LPC","LPC likely",2021-08-16
24071,"BQ","BQ likely",2021-08-16
24072,"BQ","LPC leaning",2021-08-16
24073,"LPC","LPC likely",2021-08-16
24074,"LPC","LPC safe",2021-08-16
24075,"BQ","BQ likely",2021-08-16
24076,"BQ","Toss up LPC/CPC/BQ",2021-08-16
24077,"LPC","LPC safe",2021-08-16
24078,"LPC","LPC safe",2021-08-16
35001,"LPC","LPC safe",2021-08-16
35002,"NDP","NDP safe",2021-08-16
35003,"CPC","Toss up LPC/CPC",2021-08-16
35004,"CPC","CPC likely",2021-08-16
35005,"CPC","CPC leaning",2021-08-16
35006,"LPC","Toss up LPC/CPC",2021-08-16
35007,"LPC","LPC safe",2021-08-16
35008,"IND","LPC likely",2021-08-16
35009,"LPC","LPC leaning",2021-08-16
35010,"LPC","LPC safe",2021-08-16
35011,"LPC","LPC safe",2021-08-16
35012,"LPC","LPC safe",2021-08-16
35013,"CPC","CPC likely",2021-08-16
35014,"CPC","CPC likely",2021-08-16
35015,"LPC","LPC likely",2021-08-16
35016,"LPC","LPC likely",2021-08-16
35017,"CPC","CPC likely",2021-08-16
35018,"LPC","NDP leaning",2021-08-16
35019,"IND","LPC safe",2021-08-16
35020,"LPC","LPC likely",2021-08-16
35021,"LPC","LPC safe",2021-08-16
35022,"CPC","CPC likely",2021-08-16
35023,"CPC","CPC likely",2021-08-16
35024,"LPC","LPC safe",2021-08-16
35025,"CPC","CPC safe",2021-08-16
35026,"CPC","NDP leaning",2021-08-16
35027,"LPC","LPC safe",2021-08-16
35028,"LPC","LPC safe",2021-08-16
35029,"LPC","LPC safe",2021-08-16
35030,"CPC","CPC leaning",2021-08-16
35031,"LPC","LPC likely",2021-08-16
35032,"LPC","LPC safe",2021-08-16
35033,"Vacant","CPC safe",2021-08-16
35034,"CPC","CPC safe",2021-08-16
35035,"NDP","NDP safe",2021-08-16
35036,"LPC","NDP leaning",2021-08-16
35037,"NDP","NDP safe",2021-08-16
35038,"LPC","LPC safe",2021-08-16
35039,"IND","LPC leaning",2021-08-16
35040,"CPC","CPC likely",2021-08-16
35041,"LPC","LPC leaning",2021-08-16
35042,"CPC","Toss up LPC/CPC/NDP",2021-08-16
35043,"LPC","Toss up LPC/CPC",2021-08-16
35044,"LPC","LPC likely",2021-08-16
35045,"LPC","LPC likely",2021-08-16
35046,"LPC","Toss up LPC/CPC",2021-08-16
35047,"IND","LPC leaning",2021-08-16
35048,"CPC","CPC safe",2021-08-16
35049,"CPC","CPC safe",2021-08-16
35050,"CPC","CPC safe",2021-08-16
35051,"NDP","NDP safe",2021-08-16
35052,"LPC","LPC leaning",2021-08-16
35053,"LPC","LPC likely",2021-08-16
35054,"LPC","Toss up LPC/CPC",2021-08-16
35055,"LPC","LPC safe",2021-08-16
35056,"CPC","CPC likely",2021-08-16
35057,"LPC","LPC likely",2021-08-16
35058,"LPC","LPC safe",2021-08-16
35059,"LPC","LPC safe",2021-08-16
